order_id,order_date,product_name,category,price,quantity,total_sales,customer_city,payment_method
TRX0001,2024-03-03,House Wireless,Electronics,408786,3,1226358,Bandung,COD
TRX0002,2024-04-18,USB Hub,Electronics,65580,5,327900,Jakarta,ShopeePay
TRX0003,2024-06-03,Keyboard Mechanical,Electronics,141981,5,709905,Jakarta,Dana
TRX0004,2024-04-24,Topi Bucket,Fashion,239949,2,479898,Medan,TF Bank
TRX0005,2024-03-28,Keyboard Mechanical,Electronics,386026,4,1544104,Pontianak,COD
TRX0006,2024-04-07,Celana Kargo,Fashion,73587,1,73587,Jakarta,TF Bank
TRX0007,2024-04-27,Lip Tint,Beauty,158685,1,158685,Medan,ShopeePay
TRX0008,2024-06-09,Kopi Susu,Food,309428,3,928284,Medan,TF Bank
TRX0009,2024-03-15,Hoodie Oversize,Fashion,44025,2,88050,Jakarta,COD
TRX0010,2024-06-11,Powerbank 10000mAH,Electronics,165738,4,662952,Pontianak,COD
TRX0011,2024-06-28,Moisturizer Gel,Beauty,129842,3,389526,Jakarta,Dana
TRX0012,2024-02-11,Topi Bucket,Fashion,402272,2,804544,Makassar,Gopay
TRX0013,2024-01-15,Lip Tint,Beauty,135141,3,405423,Bandung,ShopeePay
TRX0014,2024-02-24,Sunscreen,Beauty,160373,1,160373,Medan,TF Bank
TRX0015,2024-02-06,Jaket Denim,Fashion,227425,4,909700,Pontianak,COD
TRX0016,2024-05-29,Topi Bucket,Fashion,302579,3,907737,Makassar,Dana
TRX0017,2024-05-10,Coklat Batangan,Food,134987,2,269974,Makassar,ShopeePay
TRX0018,2024-06-23,House Wireless,Electronics,100132,2,200264,Makassar,Dana
TRX0019,2024-04-29,Powerbank 10000mAH,Electronics,220078,5,1100390,Medan,TF Bank
TRX0020,2024-03-09,House Wireless,Electronics,377412,5,1887060,Pontianak,ShopeePay
TRX0021,2024-01-01,Sunscreen,Beauty,102920,4,411680,Pontianak,Dana
TRX0022,2024-06-09,Topi Bucket,Fashion,498479,1,498479,Pontianak,Dana
TRX0023,2024-05-18,Kaos Unisex,Fashion,216038,2,432076,Medan,ShopeePay
TRX0024,2024-04-02,Sunscreen,Beauty,30211,1,30211,Pontianak,COD
TRX0025,2024-01-21,Keyboard Mechanical,Electronics,480329,5,2401645,Jakarta,Gopay
TRX0026,2024-02-02,USB Hub,Electronics,421517,2,843034,Makassar,Dana
TRX0027,2024-04-18,Celana Kargo,Fashion,296653,5,1483265,Bandung,Dana
TRX0028,2024-04-22,Celana Kargo,Fashion,229186,3,687558,Medan,Gopay
TRX0029,2024-03-27,Keyboard Mechanical,Electronics,137806,1,137806,Jakarta,Dana
TRX0030,2024-01-19,Topi Bucket,Fashion,135457,1,135457,Jakarta,COD
TRX0031,2024-01-19,House Wireless,Electronics,470696,3,1412088,Medan,COD
TRX0032,2024-02-03,Sunscreen,Beauty,132321,5,661605,Medan,Dana
TRX0033,2024-04-14,Mie Instan Premium,Food,431366,4,1725464,Bandung,ShopeePay
TRX0034,2024-04-15,Powerbank 10000mAH,Electronics,205753,4,823012,Makassar,ShopeePay
TRX0035,2024-01-28,House Wireless,Electronics,231089,3,693267,Bandung,COD
TRX0036,2024-04-18,Topi Bucket,Fashion,255202,2,510404,Bandung,TF Bank
TRX0037,2024-04-23,Mie Instan Premium,Food,478482,1,478482,Medan,ShopeePay
TRX0038,2024-01-24,USB Hub,Electronics,458319,1,458319,Bandung,COD
TRX0039,2024-04-12,Keripik Pedas,Food,272370,2,544740,Jakarta,COD
TRX0040,2024-04-26,Kopi Susu,Food,224693,3,674079,Pontianak,Gopay
TRX0041,2024-02-25,Mie Instan Premium,Food,119561,3,358683,Jakarta,Dana
TRX0042,2024-05-29,Earphone Bass,Electronics,49971,1,49971,Makassar,Dana
TRX0043,2024-02-17,Hoodie Oversize,Fashion,286248,1,286248,Jakarta,Dana
TRX0044,2024-05-25,Keyboard Mechanical,Electronics,231694,1,231694,Bandung,Dana
TRX0045,2024-06-17,USB Hub,Electronics,62982,4,251928,Medan,Dana
TRX0046,2024-03-02,Moisturizer Gel,Beauty,127090,3,381270,Pontianak,Gopay
TRX0047,2024-01-19,Celana Kargo,Fashion,259717,3,779151,Jakarta,Gopay
TRX0048,2024-05-09,House Wireless,Electronics,301875,2,603750,Pontianak,COD
TRX0049,2024-04-04,Serum Vitamin C,Beauty,480990,2,961980,Pontianak,COD
TRX0050,2024-06-05,Basreng,Food,388857,3,1166571,Medan,ShopeePay
TRX0051,2024-03-08,Serum Vitamin C,Beauty,480391,2,960782,Jakarta,ShopeePay
